id,kanji,type,yomi,word,highlight,ex1,ex1_yomi,ex2,ex2_yomi
引-訓,引,訓,ひ,引く,引,つなを引く。,ひ,ドアを引く。,ひ
羽-訓,羽,訓,はね,羽,羽,とりの羽。,はね,白い羽。,はね
雲-訓,雲,訓,くも,雲,雲,空の雲。,くも,白い雲。,くも
園-音,園,音,えん,公園,園,公園であそぶ。,えん,どうぶつ園へいく。,えん
遠-訓,遠,訓,とお,遠い,遠,遠いまち。,とお,学校は遠い。,とお
遠-音,遠,音,えん,遠足,遠,遠足がたのしい。,えん,あした遠足だ。,えん
何-訓,何,訓,なに,何,何,何をたべる？,なに,何がすき？,なに
科-音,科,音,か,理科,科,理科のじかん。,か,科がくのほん。,か
夏-訓,夏,訓,なつ,夏,夏,夏はあつい。,なつ,夏のうみ。,なつ
家-訓,家,訓,いえ,家,家,家にかえる。,いえ,大きな家。,いえ
家-音,家,音,か,家ぞく,家,家ぞくでごはん。,か,家ちくをかう。,か
歌-訓,歌,訓,うた,歌う,歌,うたを歌う。,うた,大きなこえで歌う。,うた
画-音,画,音,が,映画,画,映画をみる。,が,画よう紙にかく。,が
回-訓,回,訓,まわ,回る,回,こまが回る。,まわ,ぐるぐる回る。,まわ
回-音,回,音,かい,一回,回,一回だけやる。,かい,もう一回あそぶ。,かい
会-訓,会,訓,あ,会う,会,ともだちに会う。,あ,えきで会う。,あ
会-音,会,音,かい,会社,会,会社へいく。,かい,うんどう会の日。,かい
海-訓,海,訓,うみ,海,海,海であそぶ。,うみ,ひろい海。,うみ
絵-音,絵,音,え,絵,絵,絵をかく。,え,きれいな絵。,え
外-訓,外,訓,そと,外,外,外であそぶ。,そと,外はさむい。,そと
角-訓,角,訓,つの,角,角,うしの角。,つの,角がはえる。,つの
楽-訓,楽,訓,たの,楽しい,楽,楽しいあそび。,たの,とても楽しい。,たの
楽-音,楽,音,がく,音楽,楽,音楽をきく。,がく,音楽のじゅぎょう。,がく
活-音,活,音,かつ,生活,活,生活のべんきょう。,かつ,活どうをする。,かつ
間-訓,間,訓,あいだ,間,間,木と木の間。,あいだ,間にはいる。,あいだ
間-音,間,音,かん,時間,間,やすみ時間。,かん,間しょくをたべる。,かん
丸-訓,丸,訓,まる,丸い,丸,丸いボール。,まる,丸をかく。,まる
岩-訓,岩,訓,いわ,岩,岩,大きな岩。,いわ,岩にのぼる。,いわ
顔-訓,顔,訓,かお,顔,顔,顔をあらう。,かお,わらった顔。,かお
汽-音,汽,音,き,汽車,汽,汽車にのる。,き,汽車がはしる。,き
記-音,記,音,き,日記,記,日記を書く。,き,記ろくをとる。,き
帰-訓,帰,訓,かえ,帰る,帰,家に帰る。,かえ,はやく帰る。,かえ
弓-訓,弓,訓,ゆみ,弓,弓,弓をひく。,ゆみ,弓やであそぶ。,ゆみ
牛-訓,牛,訓,うし,牛,牛,牛がなく。,うし,牛のちち。,うし
牛-音,牛,音,ぎゅう,牛にゅう,牛,牛にゅうをのむ。,ぎゅう,牛にくをたべる。,ぎゅう
魚-訓,魚,訓,さかな,魚,魚,魚をつる。,さかな,魚がおよぐ。,さかな
京-音,京,音,きょう,東京,京,東京へいく。,きょう,京とのおてら。,きょう
強-訓,強,訓,つよ,強い,強,強いちから。,つよ,風が強い。,つよ
強-音,強,音,きょう,勉強,強,勉強をする。,きょう,毎日 勉強する。,きょう
教-訓,教,訓,おし,教える,教,やりかたを教える。,おし,答えを教える。,おし
教-音,教,音,きょう,教室,教,教室にはいる。,きょう,教科書をひらく。,きょう
近-訓,近,訓,ちか,近い,近,学校は近い。,ちか,近いみせ。,ちか
